run_at,time,src_ip,dst_ip,protocol,port,prediction,risk,confidence,dataset
2025-12-02T00:09:55.265844,2025-12-01T23:32:25,10.0.0.1,192.168.0.1,tcp,443,benign,LOW,0.9999998807907104,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:32:40,10.0.0.2,192.168.0.2,tcp,443,ddos,HIGH,0.9999964237213135,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:32:55,10.0.0.3,192.168.0.3,tcp,443,benign,LOW,0.9999998807907104,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:33:10,10.0.0.4,192.168.0.4,tcp,443,benign,LOW,1.0,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:33:25,10.0.0.5,192.168.0.5,tcp,443,benign,LOW,0.9999997615814209,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:33:40,10.0.0.6,192.168.0.6,tcp,443,benign,LOW,1.0,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:33:55,10.0.0.7,192.168.0.7,tcp,443,benign,LOW,0.9999995231628418,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:34:10,10.0.0.8,192.168.0.8,tcp,443,dos_hulk,HIGH,0.9999995231628418,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:34:25,10.0.0.9,192.168.0.9,tcp,443,portscan,MEDIUM,0.9999996423721313,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:34:40,10.0.0.10,192.168.0.10,tcp,443,benign,LOW,0.9999958276748657,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:34:55,10.0.0.11,192.168.0.11,tcp,443,dos_hulk,HIGH,0.9999979734420776,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:35:10,10.0.0.12,192.168.0.12,tcp,443,benign,LOW,0.9999998807907104,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:35:25,10.0.0.13,192.168.0.13,tcp,443,ddos,HIGH,0.9999967813491821,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:35:40,10.0.0.14,192.168.0.14,tcp,443,ddos,HIGH,0.9999972581863403,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:35:55,10.0.0.15,192.168.0.15,tcp,443,portscan,MEDIUM,0.9999992847442627,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:36:10,10.0.0.16,192.168.0.16,tcp,443,ddos,HIGH,0.9999969005584717,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:36:25,10.0.0.17,192.168.0.17,tcp,443,portscan,MEDIUM,0.9999995231628418,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:36:40,10.0.0.18,192.168.0.18,tcp,443,portscan,MEDIUM,0.9999994039535522,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:36:55,10.0.0.19,192.168.0.19,tcp,443,dos_hulk,HIGH,0.9999991655349731,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:37:10,10.0.0.20,192.168.0.20,tcp,443,benign,LOW,0.9999998807907104,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:37:25,10.0.0.21,192.168.0.21,tcp,443,portscan,MEDIUM,0.9999997615814209,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:37:40,10.0.0.22,192.168.0.22,tcp,443,portscan,MEDIUM,0.9999996423721313,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:37:55,10.0.0.23,192.168.0.23,tcp,443,benign,LOW,1.0,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:38:10,10.0.0.24,192.168.0.24,tcp,443,ddos,HIGH,0.9999960660934448,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:38:25,10.0.0.25,192.168.0.25,tcp,443,benign,LOW,0.9999997615814209,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:38:40,10.0.0.26,192.168.0.26,tcp,443,dos_hulk,HIGH,0.9999994039535522,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:38:55,10.0.0.27,192.168.0.27,tcp,443,benign,LOW,0.9999998807907104,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:39:10,10.0.0.28,192.168.0.28,tcp,443,portscan,MEDIUM,0.9999995231628418,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:39:25,10.0.0.29,192.168.0.29,tcp,443,benign,LOW,0.9999998807907104,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:39:40,10.0.0.30,192.168.0.30,tcp,443,portscan,MEDIUM,0.9999856948852539,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:39:55,10.0.0.31,192.168.0.31,tcp,443,benign,LOW,0.9999997615814209,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:40:10,10.0.0.32,192.168.0.32,tcp,443,benign,LOW,0.9999997615814209,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:40:25,10.0.0.33,192.168.0.33,tcp,443,benign,LOW,0.9999998807907104,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:40:40,10.0.0.34,192.168.0.34,tcp,443,benign,LOW,0.9999997615814209,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:40:55,10.0.0.35,192.168.0.35,tcp,443,benign,LOW,0.9999992847442627,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:41:10,10.0.0.36,192.168.0.36,tcp,443,benign,LOW,0.9999998807907104,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:41:25,10.0.0.37,192.168.0.37,tcp,443,dos_goldeneye,HIGH,0.9999096393585205,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:41:40,10.0.0.38,192.168.0.38,tcp,443,benign,LOW,0.9999996423721313,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:41:55,10.0.0.39,192.168.0.39,tcp,443,dos_hulk,HIGH,0.9999990463256836,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:42:10,10.0.0.40,192.168.0.40,tcp,443,benign,LOW,0.9999994039535522,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:42:25,10.0.0.41,192.168.0.41,tcp,443,ddos,HIGH,0.9999973773956299,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:42:40,10.0.0.42,192.168.0.42,tcp,443,dos_hulk,HIGH,0.9999990463256836,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:42:55,10.0.0.43,192.168.0.43,tcp,443,benign,LOW,1.0,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:43:10,10.0.0.44,192.168.0.44,tcp,443,dos_hulk,HIGH,0.9999995231628418,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:43:25,10.0.0.45,192.168.0.45,tcp,443,dos_hulk,HIGH,0.9999992847442627,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:43:40,10.0.0.46,192.168.0.46,tcp,443,ddos,HIGH,0.9999980926513672,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:43:55,10.0.0.47,192.168.0.47,tcp,443,benign,LOW,0.9999998807907104,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:44:10,10.0.0.48,192.168.0.48,tcp,443,ddos,HIGH,0.9999966621398926,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:44:25,10.0.0.49,192.168.0.49,tcp,443,benign,LOW,0.9999990463256836,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:44:40,10.0.0.50,192.168.0.50,tcp,443,benign,LOW,0.9999998807907104,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:44:55,10.0.0.51,192.168.0.51,tcp,443,ddos,HIGH,0.9999971389770508,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:45:10,10.0.0.52,192.168.0.52,tcp,443,benign,LOW,0.9999998807907104,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:45:25,10.0.0.53,192.168.0.53,tcp,443,portscan,MEDIUM,0.9999995231628418,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:45:40,10.0.0.54,192.168.0.54,tcp,443,ddos,HIGH,0.999997615814209,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:45:55,10.0.0.55,192.168.0.55,tcp,443,portscan,MEDIUM,0.9999996423721313,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:46:10,10.0.0.56,192.168.0.56,tcp,443,dos_hulk,HIGH,0.9999988079071045,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:46:25,10.0.0.57,192.168.0.57,tcp,443,dos_hulk,HIGH,0.9999995231628418,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:46:40,10.0.0.58,192.168.0.58,tcp,443,benign,LOW,0.9999997615814209,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:46:55,10.0.0.59,192.168.0.59,tcp,443,portscan,MEDIUM,0.999998927116394,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:47:10,10.0.0.60,192.168.0.60,tcp,443,benign,LOW,0.9999994039535522,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:47:25,10.0.0.61,192.168.0.61,tcp,443,portscan,MEDIUM,0.9999996423721313,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:47:40,10.0.0.62,192.168.0.62,tcp,443,portscan,MEDIUM,0.9999995231628418,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:47:55,10.0.0.63,192.168.0.63,tcp,443,benign,LOW,0.9999998807907104,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:48:10,10.0.0.64,192.168.0.64,tcp,443,dos_hulk,HIGH,0.9999978542327881,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:48:25,10.0.0.65,192.168.0.65,tcp,443,benign,LOW,0.9999998807907104,LYCOS-IDS2017
2025-12-02T00:09:55.265844,2025-12-01T23:48:40,10.0.0.66,192.168.0.66,tcp,443,portscan,MEDIUM,0.9999996423721313,RT_IOT2022
2025-12-02T00:09:55.265844,2025-12-01T23:48:55,10.0.0.67,192.168.0.67,tcp,80,dos_slowhttptest,HIGH,0.9997254014015198,LYCOS-IDS2017
